name,locations,nation,outsourcing,product,working_schedule,overtime

100 Degrees Entertainment,"District 3, Ho Chi Minh",Viet Nam,False,True,Monday - Friday,False

1PAC Việt Nam,"District 1, Ho Chi Minh",Japan,False,True,Monday - Friday,False

2359 Media Viet Nam,"District 10, Ho Chi Minh",Viet Nam,True,False,Monday - Friday,False

2Click Solutions,"District 12, Ho Chi Minh",Croatia,False,True,Monday - Friday,False

2EPAY International Technology Software Company Limited.,"District 10, Ho Chi Minh",Viet Nam,True,False,Monday - Friday,False

3ASOFT,"Tay Ho, Ha Noi",Viet Nam,False,True,Monday - Friday,False

3DPTECH,"Ho Chi Minh, Ho Chi Minh",Viet Nam,False,True,Monday - Friday,False

3S Software,"District 3, Ho Chi Minh",Viet Nam,False,True,Monday - Friday,False

"ABEO VIETNAM CO., LTD","District 1, Ho Chi Minh",Singapore,False,True,Monday - Friday,False

ABIVIN,"Ha Noi, Ho Chi Minh",Viet Nam,False,True,Monday - Friday,True

"Ace Antenna Co., Ltd","Cau Giay, Ha Noi",Republic of Korea,False,True,null,False

Active Media VietNam,Ho Chi Minh,Japan,False,True,Monday - Friday,False

Addix Vietnam,"District 1, Ho Chi Minh",Japan,True,False,Monday - Friday,False

ADDP,"Phu Nhuan, Ho Chi Minh",Viet Nam,True,False,Monday - Saturday,True

Adnet Plus,"Cau Giay, Ha Noi",Japan,True,False,Monday - Friday,False

AdNovum Vietnam,"Tan Binh, Ho Chi Minh",Switzerland,True,False,Monday - Friday,False

Advesa Digital Solutions,"Ba Dinh, Ha Noi",Canada,True,False,Monday - Friday,False

Agile Lab Pte Ltd,"Binh Thanh, Ho Chi Minh",Singapore,True,False,Monday - Friday,False

AIC Trading,Ha Noi,Viet Nam,False,True,Monday - Friday,False

AIOZ,"District 7, Ho Chi Minh",Viet Nam,False,True,Monday - Friday,False

AI Pacific,"District 3, Ho Chi Minh",Viet Nam,False,True,Monday - Friday,True

AKB Software,"Thanh Xuan, Ha Noi",Viet Nam,True,False,Monday - Friday,True

Aladin Technology,"Hoang Mai, Ha Noi",Viet Nam,False,True,null,False

Aleph Vietnam,Others,Malaysia,True,False,Monday - Friday,False

 Alipay (Alibaba Group),"District 1, Ho Chi Minh",Singapore,False,True,Monday - Friday,False

"Allgrowlabo Co.,Ltd.","District 1, Ho Chi Minh",Japan,True,False,Monday - Friday,True

Alliance IT Service Ltd,"District 3, Ho Chi Minh",Australia,True,False,Monday - Friday,False

Allied Tech Base,"Nam Tu Liem, Ha Noi",Japan,False,True,Monday - Friday,False

Allied Tech Camp,"Tan Binh, Ho Chi Minh",Japan,False,True,Monday - Friday,True

ALO Media,"Ha Noi, Ho Chi Minh",Viet Nam,False,True,Monday - Friday,False

Alta Media,"Tan Binh, Ho Chi Minh",Viet Nam,False,True,Monday - Saturday,False

Alticast,"Nam Tu Liem, Ha Noi",Republic of Korea,True,False,Monday - Saturday,True

Alt Plus Việt Nam,"Nam Tu Liem, Ha Noi",Japan,True,False,Monday - Friday,True

AltSource ,"District 3, Ho Chi Minh",United States,True,False,Monday - Friday,False

ALTTEK GLOBAL CORP,"Phu Nhuan, Ho Chi Minh",Viet Nam,False,True,Monday - Friday,False

